rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,total_downloads,adjusted_total_downloads,caretaken_asset_count
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,132,131,1,53584,53584,0
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,8145,8145,0
3,rslurry,slurry,https://github.com/rslurry,35,33,2,22473,22473,0
4,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,9978,9978,0
5,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,19,17,2,14035,14035,0
6,budhakr,budhakr,https://github.com/budhakr,15,15,0,5364,5364,0
7,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,4341,4341,0
8,kimth9,budhakr,https://github.com/budhakr,11,10,1,3288,3288,0
9,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,10681,10681,0
10,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,10,10,0,1715,1713,0
11,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,13494,13494,0
12,nzh0172,naz,https://github.com/nzh0172,8,5,3,7149,7149,0
13,ryandicicco,ryandicicco,https://github.com/ryandicicco,8,8,0,4633,4633,0
14,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,14812,14812,0
15,soccerjonj,soccerjonj,https://github.com/soccerjonj,7,7,0,1648,1648,0
16,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,6,0,6,528,528,0
17,BarKuperman,BarKuperman,https://github.com/BarKuperman,5,2,3,9140,9140,9
18,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,6924,6924,0
19,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,4055,4055,0
20,martig7,martig7,https://github.com/martig7,2,0,2,10415,10415,0
21,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,2692,2692,0
22,TransitCore,TransitCore,https://github.com/TransitCore,2,0,2,1559,1559,0
23,IMB11,IMB11,https://github.com/IMB11,2,0,2,1262,1262,0
24,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,2,2,0,1066,1066,0
25,holapapie-png,holapapie-png,https://github.com/holapapie-png,2,2,0,193,193,0
26,bean1322,bean1322,https://github.com/bean1322,2,2,0,183,183,0
27,MaxCheng95,MaxCheng95,https://github.com/MaxCheng95,2,0,2,1,1,0
28,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,13939,13939,0
29,jelegend,jelegend,https://github.com/jelegend,1,1,0,3782,3782,0
30,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,3761,3761,0
31,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,0,1,2829,2829,0
32,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,0,1,2652,2652,0
33,pendulating,pendulating,https://github.com/pendulating,1,0,1,2299,2299,0
34,Mpfk,Mpfk,https://github.com/Mpfk,1,0,1,1924,1924,0
35,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,1,0,1370,1370,0
36,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,1302,1302,0
37,bquelhas,bquelhas,https://github.com/bquelhas,1,1,0,896,896,0
38,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,1,0,555,555,0
39,cromstar,cromstar,https://github.com/cromstar,1,1,0,407,407,0
40,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,1,0,380,380,0
41,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,1,0,380,380,0
42,danielloong714,danielloong714,https://github.com/danielloong714,1,0,1,357,357,0
43,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,0,1,320,320,0
44,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,1,0,314,314,0
45,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,0,1,268,268,0
46,arniber21,arniber21,https://github.com/arniber21,1,0,1,256,256,0
47,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,0,1,231,231,0
48,akospanov,akospanov,https://github.com/akospanov,1,1,0,224,224,0
49,TathanDev,TathanDev,https://github.com/TathanDev,1,0,1,217,217,0
50,xoaninc,xoaninc,https://github.com/xoaninc,1,0,1,198,198,0
51,giannons46,giannons46,https://github.com/giannons46,1,1,0,179,179,0
52,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,1,1,0,160,160,0
53,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,0,157,157,0
54,hernang87,hernang87,https://github.com/hernang87,1,1,0,151,151,0
55,lexenygma,lexenygma,https://github.com/lexenygma,1,1,0,143,143,0
56,Meszier83,Meszier83,https://github.com/Meszier83,1,1,0,103,103,0
57,JcPires,JcPires,https://github.com/JcPires,1,1,0,96,96,1
58,patchbaywizard,patchbaywizard,https://github.com/patchbaywizard,1,0,1,47,47,0
59,JGuylherme,JGuylherme,https://github.com/JGuylherme,1,1,0,46,46,0
60,Zaschrona,Zaschrona,https://github.com/Zaschrona,1,0,1,29,29,0
61,matematysek,matematysek,https://github.com/matematysek,1,0,1,23,23,0
62,Capitao-piolho,Miguel Sousa,https://github.com/Capitao-piolho,0,0,0,0,0,1
63,devenperez,devenperez,https://github.com/devenperez,0,0,0,0,0,8
64,YellowAquarium,YellowAquarium,https://github.com/YellowAquarium,0,0,0,0,0,1
