rank,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,asset_count,map_count,mod_count
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13588,13588,57,56,1
2,rslurry,slurry,https://github.com/rslurry,10251,10237,33,33,0
3,stefanorigano,Steno,https://github.com/stefanorigano,7134,7134,1,0,1
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,5912,5912,7,4,3
5,kimth9,kimth9,https://github.com/kimth9,5829,5829,20,19,1
6,devenperez,devenperez,https://github.com/devenperez,5721,5721,8,8,0
7,Maximilian284,max02,https://github.com/Maximilian284,4664,4664,18,18,0
8,crumpetime,muffintime,https://github.com/crumpetime,4241,4241,7,6,1
9,Kronifer,Kronifer,https://github.com/Kronifer,3983,3973,8,8,0
10,nzh0172,naz,https://github.com/nzh0172,2906,2906,7,5,2
11,BarKuperman,BarKuperman,https://github.com/BarKuperman,2377,2377,4,2,2
12,ryandicicco,ryandicicco,https://github.com/ryandicicco,2148,2148,7,7,0
13,DanielD1909,DanielD1909,https://github.com/DanielD1909,2074,2074,2,1,1
14,Bobby-047,Bobby-047,https://github.com/Bobby-047,1955,1955,1,0,1
15,jelegend,jelegend,https://github.com/jelegend,1612,1612,1,1,0
16,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1504,1504,1,0,1
17,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1361,1361,10,10,0
18,soccerjonj,soccerjonj,https://github.com/soccerjonj,1177,1177,7,7,0
19,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1094,1094,1,0,1
20,WillBarouch,WillBarouch,https://github.com/WillBarouch,881,881,1,1,0
21,TransitCore,TransitCore,https://github.com/TransitCore,827,827,2,0,2
22,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,746,746,12,10,2
23,Mpfk,Mpfk,https://github.com/Mpfk,735,735,1,0,1
24,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,292,292,2,0,2
25,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,272,272,1,1,0
26,metatablestudios,metatablestudios,https://github.com/metatablestudios,228,132,1,1,0
27,bquelhas,bquelhas,https://github.com/bquelhas,138,138,1,1,0
28,TathanDev,TathanDev,https://github.com/TathanDev,122,122,1,0,1
29,Phineapoo,Phineapoo,https://github.com/Phineapoo,94,94,1,1,0
30,bean1322,bean1322,https://github.com/bean1322,68,68,2,2,0
