rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,90,89,1,774,774,29289,29289,28515,28515,snapshot_2026_08_06.json,snapshot_2026_08_05.json
2,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,11,3,249,249,7833,7833,7584,7584,snapshot_2026_08_06.json,snapshot_2026_08_05.json
3,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,213,213,12500,12500,12287,12287,snapshot_2026_08_06.json,snapshot_2026_08_05.json
4,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,189,189,3178,3178,2989,2989,snapshot_2026_08_06.json,snapshot_2026_08_05.json
5,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,157,157,11142,11142,10985,10985,snapshot_2026_08_06.json,snapshot_2026_08_05.json
6,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,139,139,11535,11535,11396,11396,snapshot_2026_08_06.json,snapshot_2026_08_05.json
7,martig7,martig7,https://github.com/martig7,2,0,2,111,111,7381,7381,7270,7270,snapshot_2026_08_06.json,snapshot_2026_08_05.json
8,Kronifer,Kronifer,https://github.com/Kronifer,9,9,0,102,102,8457,8457,8355,8355,snapshot_2026_08_06.json,snapshot_2026_08_05.json
9,pendulating,pendulating,https://github.com/pendulating,1,0,1,99,99,1224,1224,1125,1125,snapshot_2026_08_06.json,snapshot_2026_08_05.json
10,rslurry,slurry,https://github.com/rslurry,35,33,2,89,89,19538,19538,19449,19449,snapshot_2026_08_06.json,snapshot_2026_08_05.json
11,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,75,75,3571,3571,3496,3496,snapshot_2026_08_06.json,snapshot_2026_08_05.json
12,nzh0172,naz,https://github.com/nzh0172,8,5,3,71,71,5919,5919,5848,5848,snapshot_2026_08_06.json,snapshot_2026_08_05.json
13,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,70,70,5299,5299,5229,5229,snapshot_2026_08_06.json,snapshot_2026_08_05.json
14,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,66,66,8218,8218,8152,8152,snapshot_2026_08_06.json,snapshot_2026_08_05.json
15,devenperez,devenperez,https://github.com/devenperez,8,8,0,63,63,9463,9463,9400,9400,snapshot_2026_08_06.json,snapshot_2026_08_05.json
16,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,10,10,0,56,56,1692,1692,1636,1636,snapshot_2026_08_06.json,snapshot_2026_08_05.json
17,pierreggt,pierreggt,https://github.com/pierreggt,14,14,0,47,47,2458,2458,2411,2411,snapshot_2026_08_06.json,snapshot_2026_08_05.json
18,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,44,44,1418,1418,1374,1374,snapshot_2026_08_06.json,snapshot_2026_08_05.json
19,soccerjonj,soccerjonj,https://github.com/soccerjonj,7,7,0,43,43,1794,1794,1751,1751,snapshot_2026_08_06.json,snapshot_2026_08_05.json
20,jelegend,jelegend,https://github.com/jelegend,1,1,0,26,26,3396,3396,3370,3370,snapshot_2026_08_06.json,snapshot_2026_08_05.json
