rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count
1,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,nzh0172,https://github.com/nzh0172,KUL,MY,6249021,41536,2337
2,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://discord.com/users/146677783299358720,ITM,JP,6242416,60329,13821
3,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://discord.com/users/146677783299358720,NGO,JP,5912459,77505,30963
4,greater-los-angeles,Greater Los Angeles,rslurry,rslurry,https://github.com/rslurry,LAX,US,5496727,485829,7090
5,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,YYZ,CA,4039209,33646,11458
6,mfn-hong-kong,Hong Kong,crumpetime,crumpetime,https://github.com/crumpetime,HKG,HK,4038323,236084,1968
7,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,BER,DE,3926141,39805,923
8,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,SIN,SG,3529424,31692,1095
9,los-angeles-county,Los Angeles County,rslurry,rslurry,https://github.com/rslurry,LAXM,US,3179061,253472,4077
10,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,SYD,AU,3176499,25580,9687
11,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,GLED,GB,3069560,47377,12148
12,milan,Milan,Maximilian284,Maximilian284,https://github.com/Maximilian284,MIL,IT,2677197,23484,10146
13,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,YUL,CA,2523330,21051,8282
14,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,TLV,IL,2497200,12486,1301
15,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,ZRH,CH,2147370,98878,39672
16,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,WAW,PL,2115324,19327,622
17,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,KMSP,US,2003945,304108,5866
18,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,rslurry,https://github.com/rslurry,DCA,US,2003362,145916,5548
19,rome,Rome,Maximilian284,Maximilian284,https://github.com/Maximilian284,ROM,IT,1920000,28808,10725
20,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://discord.com/users/146677783299358720,UKY,JP,1844331,29565,9298
21,naples,Naples,Maximilian284,Maximilian284,https://github.com/Maximilian284,NAP,IT,1695981,21250,10998
22,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,YVR,CA,1677021,13943,5740
23,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://discord.com/users/146677783299358720,FUK,JP,1673777,23539,6057
24,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://discord.com/users/146677783299358720,SPK,JP,1536538,26512,9081
25,puerto-rico,Puerto Rico,rslurry,rslurry,https://github.com/rslurry,PR,PR,1434290,30194,8273
26,orange-county,Orange County,rslurry,rslurry,https://github.com/rslurry,OC,US,1429155,137792,2735
27,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,CAI,EG,1422928,8405,5210
28,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://discord.com/users/146677783299358720,UKB,JP,1405864,21853,6601
29,mfn-lasvegas,Las Vegas,crumpetime,crumpetime,https://github.com/crumpetime,LAS,US,1296870,79319,2373
30,orlando,Orlando,rslurry,rslurry,https://github.com/rslurry,MCO,US,1178384,100423,2364
31,pianura-veneta,Pianura Veneta,Maximilian284,Maximilian284,https://github.com/Maximilian284,VPT,IT,1165753,12448,8150
32,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://discord.com/users/146677783299358720,HIJ,JP,1053297,15726,4516
33,tampa-bay,Tampa Bay,rslurry,rslurry,https://github.com/rslurry,TPA,US,1041220,92488,3371
34,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://discord.com/users/146677783299358720,SDJ,JP,1016521,16010,5082
35,greater-baltimore,Greater Baltimore,rslurry,rslurry,https://github.com/rslurry,BWI,US,972032,75010,2920
36,garda-lake,Garda Lake,Maximilian284,Maximilian284,https://github.com/Maximilian284,GRD,IT,959863,12896,7994
37,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://discord.com/users/146677783299358720,OKJ,JP,948854,16352,6665
38,san-antonio,San Antonio,rslurry,rslurry,https://github.com/rslurry,SAT,US,946870,106855,4525
39,turin,Turin,Maximilian284,Maximilian284,https://github.com/Maximilian284,TOR,IT,910203,14127,5885
40,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://discord.com/users/146677783299358720,KKJ,JP,903453,18892,6035
41,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,YYC,CA,890139,7422,3571
42,pianura-emiliana,Pianura Emiliana,Maximilian284,Maximilian284,https://github.com/Maximilian284,PRM,IT,841395,9437,5915
43,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,BNA,US,838863,60682,2807
44,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://discord.com/users/146677783299358720,OKA,JP,820250,15203,3915
45,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,YEG,CA,798307,6612,3488
46,san-juan,San Juan,rslurry,rslurry,https://github.com/rslurry,SJU,PR,773862,9703,2901
47,mfn-hamptonroads,Norfolk,crumpetime,crumpetime,https://github.com/crumpetime,ORF,US,760585,61472,2332
48,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,SMF,US,755810,55081,2539
49,memphis,Memphis,rslurry,rslurry,https://github.com/rslurry,MEM,US,739736,39229,1534
50,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,YOW,CA,738872,6237,3373
51,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,DUB,IE,732172,3391,3265
52,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,AMS,NL,720820,6522,530
53,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://discord.com/users/146677783299358720,TOY,JP,673188,16717,7405
54,bari,Bari,Maximilian284,Maximilian284,https://github.com/Maximilian284,BAR,IT,660455,7869,3875
55,jacksonville,Jacksonville,rslurry,rslurry,https://github.com/rslurry,JAX,US,644217,52553,2775
56,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://discord.com/users/146677783299358720,KIJ,JP,634641,14422,5697
57,riviera-romagnola,Riviera Romagnola,Maximilian284,Maximilian284,https://github.com/Maximilian284,RIV,IT,630314,7433,4349
58,florence,Florence,Maximilian284,Maximilian284,https://github.com/Maximilian284,FIR,IT,626808,8434,3697
59,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,RTM,NL,613773,6740,854
60,palermo,Palermo,Maximilian284,Maximilian284,https://github.com/Maximilian284,PAL,IT,566901,8946,3264
