rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
1,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,6202,6202,snapshot_2026_05_12.json
2,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,1992,1992,snapshot_2026_05_12.json
3,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1795,1795,snapshot_2026_05_12.json
4,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,1695,1695,snapshot_2026_05_12.json
5,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,1643,1643,snapshot_2026_05_12.json
6,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,1510,1510,snapshot_2026_05_12.json
7,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,1467,1467,snapshot_2026_05_12.json
8,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1414,1414,snapshot_2026_05_12.json
9,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,1349,1349,snapshot_2026_05_12.json
10,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,1333,1333,snapshot_2026_05_12.json
11,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1238,1238,snapshot_2026_05_12.json
12,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,1212,1212,snapshot_2026_05_12.json
13,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1210,1210,snapshot_2026_05_12.json
14,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,996,996,snapshot_2026_05_12.json
15,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,993,993,snapshot_2026_05_12.json
16,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,978,978,snapshot_2026_05_12.json
17,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,974,974,snapshot_2026_05_12.json
18,map,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,937,937,snapshot_2026_05_12.json
19,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,904,904,snapshot_2026_05_12.json
20,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,869,869,snapshot_2026_05_12.json
21,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,853,853,snapshot_2026_05_12.json
22,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,843,843,snapshot_2026_05_12.json
23,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,790,790,snapshot_2026_05_12.json
24,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,782,782,snapshot_2026_05_12.json
25,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,761,761,snapshot_2026_05_12.json
26,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,719,719,snapshot_2026_05_12.json
27,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,691,691,snapshot_2026_05_12.json
28,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,673,673,snapshot_2026_05_12.json
29,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,656,656,snapshot_2026_05_12.json
30,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,639,639,snapshot_2026_05_12.json
31,map,seoul-3,Seoul (30km×30km),kimth9,kimth9,https://github.com/kimth9,580,580,snapshot_2026_05_12.json
32,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,525,525,snapshot_2026_05_12.json
33,map,helsinki,Helsinki,rslurry,slurry,https://github.com/rslurry,503,503,snapshot_2026_05_12.json
34,map,busan-4,Busan (40km×40km),kimth9,kimth9,https://github.com/kimth9,502,502,snapshot_2026_05_12.json
35,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,496,496,snapshot_2026_05_12.json
36,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,458,458,snapshot_2026_05_12.json
37,map,monterrey,Monterrey,rslurry,slurry,https://github.com/rslurry,449,449,snapshot_2026_05_12.json
38,map,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,444,444,snapshot_2026_05_12.json
39,map,guadalajara,Guadalajara,rslurry,slurry,https://github.com/rslurry,414,414,snapshot_2026_05_12.json
40,mod,cinematic-camera,Cinematic Camera,TransitCore,TransitCore,https://github.com/TransitCore,409,409,snapshot_2026_05_12.json
41,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,409,409,snapshot_2026_05_12.json
42,map,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,407,407,snapshot_2026_05_12.json
43,map,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,396,396,snapshot_2026_05_12.json
44,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,391,391,snapshot_2026_05_12.json
45,map,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,381,381,snapshot_2026_05_12.json
46,map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,364,364,snapshot_2026_05_12.json
47,map,incheon-4,Incheon (40km×40km),kimth9,kimth9,https://github.com/kimth9,361,361,snapshot_2026_05_12.json
48,map,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,353,353,snapshot_2026_05_12.json
49,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,346,346,snapshot_2026_05_12.json
