rank,listing_type,id,name,author,download_change,current_total,baseline_total,latest_snapshot,baseline_snapshot
1,mod,advanced-analytics,Advanced Analytics,stefanorigano,149,1258,1109,snapshot_2026_03_30.json,snapshot_2026_03_29.json
2,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,147,755,608,snapshot_2026_03_30.json,snapshot_2026_03_29.json
3,mod,citymapper,Citymapper,Gio1112,70,430,360,snapshot_2026_03_30.json,snapshot_2026_03_29.json
4,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,60,507,447,snapshot_2026_03_30.json,snapshot_2026_03_29.json
5,mod,distance-circles,Station Catchment Viewer,crumpetime,57,425,368,snapshot_2026_03_30.json,snapshot_2026_03_29.json
6,map,yukina-osaka,大阪 (Ōsaka),ahkimn,55,209,154,snapshot_2026_03_30.json,snapshot_2026_03_29.json
7,map,amsterdam,Amsterdam,ryandicicco,46,261,215,snapshot_2026_03_30.json,snapshot_2026_03_29.json
8,map,yukina-kyoto,京都 (Kyōto),ahkimn,44,274,230,snapshot_2026_03_30.json,snapshot_2026_03_29.json
9,map,toronto,Toronto,devenperez,38,617,579,snapshot_2026_03_30.json,snapshot_2026_03_29.json
10,mod,any-money,anyMoney,nzh0172,38,213,175,snapshot_2026_03_30.json,snapshot_2026_03_29.json
11,map,berlin-val,Berlin,Valdotorium,38,168,130,snapshot_2026_03_30.json,snapshot_2026_03_29.json
12,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,38,165,127,snapshot_2026_03_30.json,snapshot_2026_03_29.json
13,map,sydney,Sydney,WillBarouch,37,155,118,snapshot_2026_03_30.json,snapshot_2026_03_29.json
14,mod,subwaybuilder-regions,Regions,ahkimn,36,418,382,snapshot_2026_03_30.json,snapshot_2026_03_29.json
15,mod,transit-overlay,Transit Overlay,BarKuperman,36,384,348,snapshot_2026_03_30.json,snapshot_2026_03_29.json
16,map,zurich,Zurich,Kronifer,32,275,243,snapshot_2026_03_30.json,snapshot_2026_03_29.json
