rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,tod,Transit-Oriented Development[beta],hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,272,272,346,346,74,74,snapshot_2026_05_26.json,snapshot_2026_05_23.json
2,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,123,123,123,123,0,0,snapshot_2026_05_26.json,snapshot_2026_05_23.json
3,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,118,118,2105,2105,1987,1987,snapshot_2026_05_26.json,snapshot_2026_05_23.json
4,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,92,92,500,500,408,408,snapshot_2026_05_26.json,snapshot_2026_05_23.json
5,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,90,90,6725,6725,6635,6635,snapshot_2026_05_26.json,snapshot_2026_05_23.json
6,map,oslo-no,Oslo,rslurry,slurry,https://github.com/rslurry,86,86,88,88,2,2,snapshot_2026_05_26.json,snapshot_2026_05_23.json
7,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,77,77,1478,1478,1401,1401,snapshot_2026_05_26.json,snapshot_2026_05_23.json
8,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,62,62,1747,1747,1685,1685,snapshot_2026_05_26.json,snapshot_2026_05_23.json
9,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,54,54,1954,1954,1900,1900,snapshot_2026_05_26.json,snapshot_2026_05_23.json
10,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,49,49,2319,2319,2270,2270,snapshot_2026_05_26.json,snapshot_2026_05_23.json
11,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,45,45,898,898,853,853,snapshot_2026_05_26.json,snapshot_2026_05_23.json
12,map,busan-4,Busan (40km×40km),kimth9,kimth9,https://github.com/kimth9,43,43,649,649,606,606,snapshot_2026_05_26.json,snapshot_2026_05_23.json
13,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,42,42,1686,1686,1644,1644,snapshot_2026_05_26.json,snapshot_2026_05_23.json
14,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,38,38,1490,1490,1452,1452,snapshot_2026_05_26.json,snapshot_2026_05_23.json
15,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,36,36,692,692,656,656,snapshot_2026_05_26.json,snapshot_2026_05_23.json
16,mod,satellite-overlay,Satellite Overlay,TransitCore,TransitCore,https://github.com/TransitCore,36,36,255,255,219,219,snapshot_2026_05_26.json,snapshot_2026_05_23.json
17,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,35,35,1626,1626,1591,1591,snapshot_2026_05_26.json,snapshot_2026_05_23.json
18,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,35,35,1388,1388,1353,1353,snapshot_2026_05_26.json,snapshot_2026_05_23.json
19,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,34,34,977,977,943,943,snapshot_2026_05_26.json,snapshot_2026_05_23.json
