rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,85,582,582,21429,21429,20847,20847,snapshot_2026_09_23.json,snapshot_2026_09_20.json,582,582,0,0
2,budhakr/sb_korean_map_pack,sb_korean_map_pack,budhakr,budhakr,https://github.com/budhakr,16,404,404,5789,5789,5385,5385,snapshot_2026_09_23.json,snapshot_2026_09_20.json,404,404,0,0
3,kaicardenas0618/japanese-trains,japanese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,205,205,1845,1845,1640,1640,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,205,205
4,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,131,131,20542,20542,20411,20411,snapshot_2026_09_23.json,snapshot_2026_09_20.json,131,131,0,0
5,pierreggt/subwaybuilder-maps-deutschland,subwaybuilder-maps-deutschland,pierreggt,pierreggt,https://github.com/pierreggt,20,122,122,1871,1871,1749,1749,snapshot_2026_09_23.json,snapshot_2026_09_20.json,122,122,0,0
6,pierreggt/subwaybuilder-maps-france,subwaybuilder-maps-france,pierreggt,pierreggt,https://github.com/pierreggt,35,103,103,4448,4448,4345,4345,snapshot_2026_09_23.json,snapshot_2026_09_20.json,103,103,0,0
7,zaschrona/demand-developer,demand-developer,Zaschrona,Zaschrona,https://github.com/Zaschrona,1,101,101,227,227,126,126,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,101,101
8,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,48,93,93,23211,23211,23118,23118,snapshot_2026_09_23.json,snapshot_2026_09_20.json,93,93,0,0
9,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,93,93,1605,1605,1512,1512,snapshot_2026_09_23.json,snapshot_2026_09_20.json,93,93,0,0
10,noahgarrf/upzoned-transit,Upzoned-Transit,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,1,89,89,423,423,334,334,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,89,89
11,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,8,67,67,11477,11477,11410,11410,snapshot_2026_09_23.json,snapshot_2026_09_20.json,67,67,0,0
12,patchbaywizard/subway-builder-time-boost,subway-builder-time-boost,patchbaywizard,patchbaywizard,https://github.com/patchbaywizard,1,56,56,124,124,68,68,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,56,56
13,pierreggt/subwaybuilder-maps,subwaybuilder-maps,pierreggt,pierreggt,https://github.com/pierreggt,16,53,53,966,966,913,913,snapshot_2026_09_23.json,snapshot_2026_09_20.json,53,53,0,0
14,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,6,51,51,6733,6733,6682,6682,snapshot_2026_09_23.json,snapshot_2026_09_20.json,51,51,0,0
15,barkuperman/subwaybuilder-au-nz-maps,subwaybuilder-au-nz-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,9,49,49,2836,2836,2787,2787,snapshot_2026_09_23.json,snapshot_2026_09_20.json,49,49,0,0
16,jguylherme/rio_metro,rio_metro,JGuylherme,JGuylherme,https://github.com/JGuylherme,1,49,49,172,172,123,123,snapshot_2026_09_23.json,snapshot_2026_09_20.json,49,49,0,0
17,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,47,47,8427,8427,8380,8380,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,47,47
18,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,42,42,6232,6232,6190,6190,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,42,42
19,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,8,39,39,4732,4732,4693,4693,snapshot_2026_09_23.json,snapshot_2026_09_20.json,39,39,0,0
20,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,38,38,4345,4345,4307,4307,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,38,38
21,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,37,37,5385,5385,5348,5348,snapshot_2026_09_23.json,snapshot_2026_09_20.json,37,37,0,0
22,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,7,35,35,5074,5074,5039,5039,snapshot_2026_09_23.json,snapshot_2026_09_20.json,35,35,0,0
23,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,34,34,5639,5639,5605,5605,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,34,34
24,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,max02,https://github.com/Maximilian284,14,33,33,5056,5056,5023,5023,snapshot_2026_09_23.json,snapshot_2026_09_20.json,33,33,0,0
25,meszier83/subway-builder-mexico-maps,subway-builder-mexico-maps,Meszier83,Meszier83,https://github.com/Meszier83,1,33,33,180,180,147,147,snapshot_2026_09_23.json,snapshot_2026_09_20.json,33,33,0,0
26,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,32,32,5535,5535,5503,5503,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,32,32
27,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,32,32,4781,4781,4749,4749,snapshot_2026_09_23.json,snapshot_2026_09_20.json,32,32,0,0
