rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,522,525,10953,10942,10431,10417,snapshot_2026_06_16.json,snapshot_2026_06_09.json
2,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,32,443,443,3803,3803,3360,3360,snapshot_2026_06_16.json,snapshot_2026_06_09.json
3,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,315,315,6005,6005,5690,5690,snapshot_2026_06_16.json,snapshot_2026_06_09.json
4,seanyushoumori/track-visualizer,track-visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,284,284,658,658,374,374,snapshot_2026_06_16.json,snapshot_2026_06_09.json
5,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,Steno,https://github.com/stefanorigano,1,279,279,7497,7497,7218,7218,snapshot_2026_06_16.json,snapshot_2026_06_09.json
6,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,devenperez,devenperez,https://github.com/devenperez,8,234,234,6020,6020,5786,5786,snapshot_2026_06_16.json,snapshot_2026_06_09.json
7,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,219,219,1411,1411,1192,1192,snapshot_2026_06_16.json,snapshot_2026_06_09.json
8,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,29,211,211,7057,7057,6846,6846,snapshot_2026_06_16.json,snapshot_2026_06_09.json
9,hsullivan1201/sb-tod,sb-tod,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,204,204,1388,1388,1184,1184,snapshot_2026_06_16.json,snapshot_2026_06_09.json
10,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,184,184,184,184,0,0,snapshot_2026_06_16.json,snapshot_2026_06_09.json
11,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,4,173,173,1762,1762,1589,1589,snapshot_2026_06_16.json,snapshot_2026_06_09.json
12,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,170,170,2683,2683,2513,2513,snapshot_2026_06_16.json,snapshot_2026_06_09.json
13,seanyushoumori/track-anarchy,track-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,153,153,200,200,47,47,snapshot_2026_06_16.json,snapshot_2026_06_09.json
14,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,152,152,2362,2362,2210,2210,snapshot_2026_06_16.json,snapshot_2026_06_09.json
15,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,143,143,2138,2138,1995,1995,snapshot_2026_06_16.json,snapshot_2026_06_09.json
16,barkuperman/orbital-surveyor,orbital-surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,130,130,227,227,97,97,snapshot_2026_06_16.json,snapshot_2026_06_09.json
17,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,115,115,895,895,780,780,snapshot_2026_06_16.json,snapshot_2026_06_09.json
18,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,4,109,109,2441,2441,2332,2332,snapshot_2026_06_16.json,snapshot_2026_06_09.json
19,kaicardenas0618/subway-builder-peru,subway-builder-peru,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,9,103,103,348,348,245,245,snapshot_2026_06_16.json,snapshot_2026_06_09.json
20,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,98,98,2614,2614,2516,2516,snapshot_2026_06_16.json,snapshot_2026_06_09.json
21,nzh0172/sb-anymoney,sb-anymoney,nzh0172,naz,https://github.com/nzh0172,1,90,90,1351,1351,1261,1261,snapshot_2026_06_16.json,snapshot_2026_06_09.json
