date_or_hour,dimension,metric,visits
2026-04-16,totals,visits,280
2026-04-16,pages,/,95
2026-04-16,pages,/credits,1
2026-04-16,pages,/license,5
2026-04-16,pages,/railyard,45
2026-04-16,pages,/railyard/browse,16
2026-04-16,pages,/railyard/docs,4
2026-04-16,pages,/railyard/docs/latest/players/github-token,4
2026-04-16,pages,/railyard/docs/v0.1/players,1
2026-04-16,pages,/railyard/docs/v0.2/players/country-flag-emojis,1
2026-04-16,pages,/railyard/docs/v0.2/players/github-token,11
2026-04-16,pages,/railyard/docs/v0.2/players/installing-railyard/macos,1
2026-04-16,pages,/railyard/docs/v0.2/players/installing-railyard/windows,2
2026-04-16,pages,/railyard/maps/albany,1
2026-04-16,pages,/railyard/maps/barcelona,1
2026-04-16,pages,/railyard/maps/bucharest-medium,1
2026-04-16,pages,/railyard/maps/buffalo-ny,1
2026-04-16,pages,/railyard/maps/glasgow-edinburgh,1
2026-04-16,pages,/railyard/maps/guadalajara,1
2026-04-16,pages,/railyard/maps/monterrey/changelog/1.0.1,1
2026-04-16,pages,/railyard/maps/piedmont-triad/changelog/1.0.0,1
2026-04-16,pages,/railyard/maps/tel-aviv,1
2026-04-16,pages,/railyard/maps/valencia,1
2026-04-16,pages,/railyard/maps/valencia/changelog/1.0.2,1
2026-04-16,pages,/railyard/maps/yukina-hakodate,1
2026-04-16,pages,/railyard/maps/yukina-hiroshima-kure,1
2026-04-16,pages,/railyard/maps/yukina-kumamoto,1
2026-04-16,pages,/railyard/maps/yukina-morioka,1
2026-04-16,pages,/railyard/maps/yukina-nakadoori/changelog/0.1.1,1
2026-04-16,pages,/railyard/maps/yukina-nakaumi/changelog/0.2.0,1
2026-04-16,pages,/railyard/maps/yukina-nemuro/changelog/0.1.1,1
2026-04-16,pages,/railyard/maps/yukina-northern-kyushu,1
2026-04-16,pages,/railyard/maps/yukina-tottori,1
2026-04-16,pages,/railyard/maps/yukina-tsugaru,1
2026-04-16,pages,/railyard/mods/any-money,1
2026-04-16,pages,/railyard/mods/cinematic-camera,1
2026-04-16,pages,/railyard/mods/citymapper,1
2026-04-16,pages,/railyard/mods/simple-trains,2
2026-04-16,pages,/railyard/mods/station-dots,1
2026-04-16,pages,/railyard/updates,2
2026-04-16,pages,/railyard/updates/v0.1.2,1
2026-04-16,pages,/railyard/updates/v0.1.3,1
2026-04-16,pages,/railyard/updates/v0.1.4,2
2026-04-16,pages,/railyard/updates/v0.2.0,1
2026-04-16,pages,/registry,1
2026-04-16,pages,/registry/authors/TransitCore,1
2026-04-16,pages,/registry/authors/Valdotorium,3
2026-04-16,pages,/registry/authors/nzh0172,1
2026-04-16,pages,/registry/map/yukina-fukuoka,1
2026-04-16,pages,/registry/map/yukina-hakodate,1
2026-04-16,pages,/registry/map/yukina-hiroshima-kure,1
2026-04-16,pages,/registry/map/yukina-kagoshima-kirishima,1
2026-04-16,pages,/registry/map/yukina-matsuyama,1
2026-04-16,pages,/registry/map/yukina-nagasaki,1
2026-04-16,pages,/registry/maps/bangkok,1
2026-04-16,pages,/registry/maps/bilbao,1
2026-04-16,pages,/registry/maps/ciudad-de-mexico,1
2026-04-16,pages,/registry/maps/greater-los-angeles,2
2026-04-16,pages,/registry/maps/jelegend-tokyo,3
2026-04-16,pages,/registry/maps/madrid,1
2026-04-16,pages,/registry/maps/mfn-hamptonroads,1
2026-04-16,pages,/registry/maps/pulau-pinang,1
2026-04-16,pages,/registry/maps/rome,3
2026-04-16,pages,/registry/maps/toledo-oh,1
2026-04-16,pages,/registry/maps/valencia,1
2026-04-16,pages,/registry/maps/yukina-kumamoto,1
2026-04-16,pages,/registry/maps/yukina-morioka,1
2026-04-16,pages,/registry/maps/yukina-nagoya,1
2026-04-16,pages,/registry/maps/yukina-niigata,1
2026-04-16,pages,/registry/maps/yukina-northern-kyushu,1
2026-04-16,pages,/registry/maps/yukina-tottori,1
2026-04-16,pages,/registry/mods/advanced-analytics,1
2026-04-16,pages,/registry/mods/citymapper,2
2026-04-16,pages,/registry/mods/distance-circles,1
2026-04-16,pages,/registry/mods/simple-trains,1
2026-04-16,pages,/registry/mods/subwaybuilder-regions,1
2026-04-16,pages,/registry/trending,1
2026-04-16,pages,/registry/world-map,4
2026-04-16,pages,/template-mod,5
2026-04-16,pages,/tools/md-playground,1
2026-04-16,pages,/updates/railyard/v0.1.4,6
2026-04-16,pages,/updates/railyard/v0.2.2,1
2026-04-16,pages,/updates/template-mod,1
2026-04-16,pages,/website,1
2026-04-16,countries,AR,1
2026-04-16,countries,BA,3
2026-04-16,countries,BE,9
2026-04-16,countries,BR,3
2026-04-16,countries,CA,28
2026-04-16,countries,CH,1
2026-04-16,countries,CN,1
2026-04-16,countries,DE,14
2026-04-16,countries,ES,3
2026-04-16,countries,FR,6
2026-04-16,countries,GB,18
2026-04-16,countries,IE,1
2026-04-16,countries,IL,1
2026-04-16,countries,IS,1
2026-04-16,countries,IT,2
2026-04-16,countries,NL,3
2026-04-16,countries,NO,1
2026-04-16,countries,PL,14
2026-04-16,countries,PT,2
2026-04-16,countries,RO,4
2026-04-16,countries,SE,2
2026-04-16,countries,SG,3
2026-04-16,countries,TH,7
2026-04-16,countries,TW,2
2026-04-16,countries,US,150
2026-04-16,browsers,AppleBot,1
2026-04-16,browsers,BingBot,7
2026-04-16,browsers,Chrome,75
2026-04-16,browsers,ChromeMobile,12
2026-04-16,browsers,Edge,23
2026-04-16,browsers,Firefox,44
2026-04-16,browsers,GoogleBot,35
2026-04-16,browsers,MobileSafari,9
2026-04-16,browsers,Opera,6
2026-04-16,browsers,Safari,17
2026-04-16,browsers,SamsungInternet,3
2026-04-16,browsers,Unknown,48
2026-04-16,operating_systems,Android,46
2026-04-16,operating_systems,ChromeOS,1
2026-04-16,operating_systems,Linux,7
2026-04-16,operating_systems,MacOSX,64
2026-04-16,operating_systems,Unknown,55
2026-04-16,operating_systems,Windows,94
2026-04-16,operating_systems,iOS,13
2026-04-16,devices,desktop,210
2026-04-16,devices,mobile,68
2026-04-16,devices,tablet,2
2026-04-17,totals,visits,887
2026-04-17,pages,/,209
2026-04-17,pages,/contribute,6
2026-04-17,pages,/credits,38
2026-04-17,pages,/docs,1
2026-04-17,pages,/index.html,1
2026-04-17,pages,/license,2
2026-04-17,pages,/railyard,116
2026-04-17,pages,/railyard/analytics,7
2026-04-17,pages,/railyard/browse,37
2026-04-17,pages,/railyard/docs,9
2026-04-17,pages,/railyard/docs/latest/developers/publishing-projects,3
2026-04-17,pages,/railyard/docs/latest/players/github-token,16
2026-04-17,pages,/railyard/docs/latest/players/installing-railyard,3
2026-04-17,pages,/railyard/docs/v0.1/players/github-token,2
2026-04-17,pages,/railyard/docs/v0.1/players/install-guide-linux,1
2026-04-17,pages,/railyard/docs/v0.1/players/install-guide-macos,2
2026-04-17,pages,/railyard/docs/v0.1/players/install-guide-windows,1
2026-04-17,pages,/railyard/docs/v0.2/developers,6
2026-04-17,pages,/railyard/docs/v0.2/developers/data-quality,2
2026-04-17,pages,/railyard/docs/v0.2/developers/dependencies,2
2026-04-17,pages,/railyard/docs/v0.2/developers/publishing-projects,1
2026-04-17,pages,/railyard/docs/v0.2/developers/tagging,5
2026-04-17,pages,/railyard/docs/v0.2/developers/using-custom-url,2
2026-04-17,pages,/railyard/docs/v0.2/players,21
2026-04-17,pages,/railyard/docs/v0.2/players/country-flag-emojis,1
2026-04-17,pages,/railyard/docs/v0.2/players/github-token,11
2026-04-17,pages,/railyard/docs/v0.2/players/installing-railyard,2
2026-04-17,pages,/railyard/docs/v0.2/players/installing-railyard/linux,1
2026-04-17,pages,/railyard/docs/v0.2/players/installing-railyard/macos,4
2026-04-17,pages,/railyard/docs/v0.2/players/installing-railyard/windows,8
2026-04-17,pages,/railyard/docs/v0.2/players/profile-management,4
2026-04-17,pages,/railyard/maps/amsterdam,2
2026-04-17,pages,/railyard/maps/baltimore-dc-corridor,1
2026-04-17,pages,/railyard/maps/bari,1
2026-04-17,pages,/railyard/maps/berlin-val,3
2026-04-17,pages,/railyard/maps/bologna,1
2026-04-17,pages,/railyard/maps/bucharest-medium,3
2026-04-17,pages,/railyard/maps/cairo,1
2026-04-17,pages,/railyard/maps/colorado-ski-country/changelog/1.0.0,1
2026-04-17,pages,/railyard/maps/daytonatti,1
2026-04-17,pages,/railyard/maps/dublin/changelog/v1.0.0,1
2026-04-17,pages,/railyard/maps/greater-kuala-lumpur,2
2026-04-17,pages,/railyard/maps/greater-los-angeles,2
2026-04-17,pages,/railyard/maps/ipoh,1
2026-04-17,pages,/railyard/maps/jelegend-tokyo,10
2026-04-17,pages,/railyard/maps/jelegend-tokyo/changelog/v0.1.0,2
2026-04-17,pages,/railyard/maps/johor-bahru,1
2026-04-17,pages,/railyard/maps/los-angeles-county/changelog/1.1.0,1
2026-04-17,pages,/railyard/maps/madrid,2
2026-04-17,pages,/railyard/maps/madrid/changelog/1.0.0,1
2026-04-17,pages,/railyard/maps/mfn-northwestar/changelog/1.0.0,1
2026-04-17,pages,/railyard/maps/mfn-rdu,2
2026-04-17,pages,/railyard/maps/mfn-rdu/changelog/1.0.0,1
2026-04-17,pages,/railyard/maps/milan,1
2026-04-17,pages,/railyard/maps/monterrey/changelog/1.0.1,1
2026-04-17,pages,/railyard/maps/nashville,2
2026-04-17,pages,/railyard/maps/oklahoma-city,1
2026-04-17,pages,/railyard/maps/orange-county/changelog/1.0.3,1
2026-04-17,pages,/railyard/maps/ottawa,8
2026-04-17,pages,/railyard/maps/puerto-rico,1
2026-04-17,pages,/railyard/maps/puerto-rico/changelog/1.0.1,1
2026-04-17,pages,/railyard/maps/pulau-pinang,1
2026-04-17,pages,/railyard/maps/rome,1
2026-04-17,pages,/railyard/maps/san-juan,1
2026-04-17,pages,/railyard/maps/seoul-4,1
2026-04-17,pages,/railyard/maps/singapore-val,1
2026-04-17,pages,/railyard/maps/south-florida/changelog/v1.0.0,1
2026-04-17,pages,/railyard/maps/sydney,1
2026-04-17,pages,/railyard/maps/sydney/changelog/1.0.0,1
2026-04-17,pages,/railyard/maps/tel-aviv/changelog/v2.0.0,1
2026-04-17,pages,/railyard/maps/toronto,1
2026-04-17,pages,/railyard/maps/toronto/changelog/1.0.1,1
2026-04-17,pages,/railyard/maps/toronto/changelog/1.1.3,1
2026-04-17,pages,/railyard/maps/ulsan-3/changelog/0.1.1,1
2026-04-17,pages,/railyard/maps/ulsan-4/changelog/0.1.1,1
2026-04-17,pages,/railyard/maps/vancouver,2
2026-04-17,pages,/railyard/maps/waterloo,1
2026-04-17,pages,/railyard/maps/yukina-asahikawa/changelog/0.1.1,1
2026-04-17,pages,/railyard/maps/yukina-fukuoka,1
2026-04-17,pages,/railyard/maps/yukina-fukuoka/changelog/0.5.0,1
2026-04-17,pages,/railyard/maps/yukina-kitakyushu-shimonoseki/changelog/0.5.0,1
2026-04-17,pages,/railyard/maps/yukina-kobe-akashi,1
2026-04-17,pages,/railyard/maps/yukina-kumamoto/changelog/0.1.0,1
2026-04-17,pages,/railyard/maps/yukina-kyoto,4
2026-04-17,pages,/railyard/maps/yukina-matsuyama,1
2026-04-17,pages,/railyard/maps/yukina-morioka/changelog/0.1.0,1
2026-04-17,pages,/railyard/maps/yukina-nagoya,1
2026-04-17,pages,/railyard/maps/yukina-nakaumi/changelog/0.3.0,1
2026-04-17,pages,/railyard/maps/yukina-nemuro,1
2026-04-17,pages,/railyard/maps/yukina-northern-kyushu/changelog/0.1.0,1
2026-04-17,pages,/railyard/maps/yukina-okinawa,1
2026-04-17,pages,/railyard/maps/yukina-okinawa/changelog/0.4.0,2
2026-04-17,pages,/railyard/maps/yukina-sendai/changelog/0.3.0,1
2026-04-17,pages,/railyard/maps/yukina-shizuoka-hamamatsu,1
2026-04-17,pages,/railyard/maps/yukina-tottori/changelog/0.1.0,1
2026-04-17,pages,/railyard/maps/yukina-tsugaru,1
2026-04-17,pages,/railyard/maps/yukina-tsugaru/changelog/0.1.1,1
2026-04-17,pages,/railyard/maps/yukina-wakkanai,1
2026-04-17,pages,/railyard/maps/yukina-wakkanai/changelog/0.1.1,1
2026-04-17,pages,/railyard/maps/zurich,1
2026-04-17,pages,/railyard/mods/advanced-analytics,1
2026-04-17,pages,/railyard/mods/any-money,2
2026-04-17,pages,/railyard/mods/cinematic-camera,3
2026-04-17,pages,/railyard/mods/citymapper,1
2026-04-17,pages,/railyard/mods/danield1909-dantrains/changelog/v1.0.0,1
2026-04-17,pages,/railyard/mods/danield1909-dantrains/changelog/v1.0.2,1
2026-04-17,pages,/railyard/mods/game-speedup,4
2026-04-17,pages,/railyard/mods/network-status,3
2026-04-17,pages,/railyard/mods/simple-trains,1
2026-04-17,pages,/railyard/mods/station-dots,4
2026-04-17,pages,/railyard/mods/subwaybuilder-regions,2
2026-04-17,pages,/railyard/mods/transit-overlay,2
2026-04-17,pages,/railyard/mods/valdotoriums-trains,7
2026-04-17,pages,/railyard/updates,8
2026-04-17,pages,/railyard/updates/v0.1.0,1
2026-04-17,pages,/railyard/updates/v0.1.1,1
2026-04-17,pages,/railyard/updates/v0.1.2,1
2026-04-17,pages,/railyard/updates/v0.1.3,2
2026-04-17,pages,/railyard/updates/v0.1.6,1
2026-04-17,pages,/railyard/updates/v0.2.0,3
2026-04-17,pages,/railyard/updates/v0.2.1,5
2026-04-17,pages,/railyard/updates/v0.2.2,1
2026-04-17,pages,/registry,14
2026-04-17,pages,/registry/authors/BarKuperman,2
2026-04-17,pages,/registry/authors/Maximilian284,1
2026-04-17,pages,/registry/authors/TransitCore,2
2026-04-17,pages,/registry/authors/Valdotorium,1
2026-04-17,pages,/registry/authors/bean1322,1
2026-04-17,pages,/registry/authors/crumpetime,1
2026-04-17,pages,/registry/authors/kimth9,1
2026-04-17,pages,/registry/authors/nzh0172,1
2026-04-17,pages,/registry/authors/soccerjonj,2
2026-04-17,pages,/registry/authors/stefanorigano,2
2026-04-17,pages,/registry/maps/barcelona,1
2026-04-17,pages,/registry/maps/bari,1
2026-04-17,pages,/registry/maps/berlin-val,4
2026-04-17,pages,/registry/maps/bilbao,1
2026-04-17,pages,/registry/maps/buffalo-ny,4
2026-04-17,pages,/registry/maps/greater-kuala-lumpur,1
2026-04-17,pages,/registry/maps/ipoh,1
2026-04-17,pages,/registry/maps/jelegend-tokyo,4
2026-04-17,pages,/registry/maps/jerusalem,1
2026-04-17,pages,/registry/maps/johor-bahru,1
2026-04-17,pages,/registry/maps/knoxville,1
2026-04-17,pages,/registry/maps/los-angeles-county,2
2026-04-17,pages,/registry/maps/madrid,2
2026-04-17,pages,/registry/maps/mfn-hamptonroads,1
2026-04-17,pages,/registry/maps/mfn-madisonwi,1
2026-04-17,pages,/registry/maps/mfn-northwestar,1
2026-04-17,pages,/registry/maps/mfn-rdu,1
