date_or_hour,metric,visits
2026-04-16,desktop,210
2026-04-16,mobile,68
2026-04-16,tablet,2
2026-04-17,desktop,706
2026-04-17,mobile,181
2026-04-18,desktop,792
2026-04-18,mobile,154
2026-04-18,tablet,1
2026-04-19,desktop,725
2026-04-19,mobile,209
2026-04-19,tablet,1
2026-04-20,desktop,597
2026-04-20,mobile,190
2026-04-20,tablet,6
2026-04-21,desktop,581
2026-04-21,mobile,245
2026-04-21,tablet,3
2026-04-22,desktop,517
2026-04-22,mobile,159
2026-04-23,desktop,506
2026-04-23,mobile,208
2026-04-23,tablet,5
2026-04-25,desktop,90
2026-04-25,mobile,6
2026-04-26,desktop,25
2026-04-26,mobile,13
