date_or_hour,metric,visits
2026-04-16,Android,46
2026-04-16,ChromeOS,1
2026-04-16,Linux,7
2026-04-16,MacOSX,64
2026-04-16,Unknown,55
2026-04-16,Windows,94
2026-04-16,iOS,13
2026-04-17,Android,126
2026-04-17,Linux,32
2026-04-17,MacOSX,222
2026-04-17,Unknown,274
2026-04-17,Windows,200
2026-04-17,iOS,33
2026-04-18,Android,71
2026-04-18,Linux,13
2026-04-18,MacOSX,189
2026-04-18,Unknown,350
2026-04-18,Windows,257
2026-04-18,iOS,67
2026-04-19,Android,106
2026-04-19,Linux,25
2026-04-19,MacOSX,275
2026-04-19,Unknown,167
2026-04-19,Windows,277
2026-04-19,iOS,85
2026-04-20,Android,78
2026-04-20,ChromeOS,1
2026-04-20,Linux,12
2026-04-20,MacOSX,139
2026-04-20,Unknown,291
2026-04-20,Windows,203
2026-04-20,iOS,69
2026-04-21,Android,174
2026-04-21,Linux,11
2026-04-21,MacOSX,117
2026-04-21,Unknown,236
2026-04-21,Windows,228
2026-04-21,iOS,63
2026-04-22,Android,91
2026-04-22,Linux,7
2026-04-22,MacOSX,112
2026-04-22,Unknown,237
2026-04-22,Windows,172
2026-04-22,iOS,57
2026-04-23,Android,133
2026-04-23,Linux,9
2026-04-23,MacOSX,89
2026-04-23,Unknown,223
2026-04-23,Windows,229
2026-04-23,iOS,36
2026-04-25,Unknown,1
